epoch,fc2,multi2,fc5,multi5
147,0.3344,0.2831,0.3219,0.2815
148,0.3336,0.2782,0.3252,0.2804
149,0.3344,0.2822,0.3222,0.2809
150,0.3363,0.2808,0.3211,0.2819
151,0.3352,0.2825,0.3228,0.2814
152,0.3348,0.2819,0.3241,0.2837
153,0.3338,0.281,0.3263,0.2794
154,0.337,0.2806,0.3206,0.2798
155,0.3331,0.2822,0.3244,0.281
156,0.3366,0.2814,0.3215,0.2783
157,0.3335,0.2821,0.3216,0.2778
158,0.3362,0.2819,0.3237,0.2777
159,0.338,0.2824,0.3209,0.2818
160,0.3339,0.2813,0.3312,0.2807
161,0.3319,0.2805,0.3218,0.2817
162,0.3369,0.2805,0.323,0.2791
163,0.3348,0.2827,0.3215,0.2807
164,0.3347,0.2812,0.3216,0.2776
165,0.3345,0.2834,0.3214,0.2814
166,0.3342,0.2816,0.3204,0.2811
167,0.3355,0.2853,0.3274,0.2824
168,0.3356,0.2804,0.3225,0.2798
169,0.3344,0.2817,0.3204,0.2783
170,0.3358,0.2794,0.322,0.281
171,0.3339,0.2827,0.32,0.2833
172,0.3331,0.2813,0.32,0.2806
173,0.3352,0.2793,0.3226,0.279
174,0.3339,0.2818,0.3228,0.279
175,0.3362,0.2831,0.3371,0.2818
176,0.3423,0.2804,0.3221,0.2792
177,0.3332,0.2815,0.3223,0.2809
178,0.3347,0.281,0.3222,0.2784
179,0.3335,0.28,0.3226,0.28
180,0.3336,0.2812,0.3211,0.2783
181,0.3336,0.2826,0.3325,0.2793
182,0.333,0.2799,0.3208,0.2773
183,0.3339,0.2806,0.3263,0.2783
184,0.334,0.2824,0.3205,0.2801
185,0.3345,0.2786,0.3222,0.2785
186,0.3345,0.2816,0.3234,0.2787
187,0.3336,0.278,0.3239,0.2792
188,0.3335,0.2801,0.322,0.2765
189,0.3351,0.2831,0.3203,0.2764
190,0.3368,0.285,0.3255,0.2789
191,0.3388,0.2808,0.323,0.2791
192,0.3314,0.2806,0.3237,0.2787
193,0.3324,0.2825,0.3252,0.2799
194,0.3327,0.2809,0.3226,0.2785
195,0.3321,0.2823,0.3223,0.2777
196,0.3337,0.2855,0.3228,0.277
197,0.3338,0.2805,0.322,0.2785
198,0.3338,0.2829,0.3234,0.2787
199,0.3308,0.2816,0.3221,0.2779
200,0.3302,0.2809,0.3217,0.2789
201,0.3307,0.2818,0.3222,0.2811
202,0.3322,0.2801,0.325,0.2788
203,0.3316,0.2805,0.3212,0.2794
204,0.3306,0.2813,0.3242,0.278
205,0.3347,0.2788,0.3233,0.278
206,0.3328,0.2803,0.3252,0.2781
207,0.335,0.2818,0.3245,0.2801
