epoch,fc2,multi2,fc5,multi5
147,0.206,0.1829,0.2065,0.1782
148,0.2012,0.1827,0.2105,0.1803
149,0.2013,0.1831,0.206,0.1829
150,0.2019,0.1824,0.2054,0.1812
151,0.2016,0.1816,0.2069,0.1798
152,0.1997,0.184,0.2071,0.1793
153,0.1995,0.1824,0.2068,0.1812
154,0.1991,0.1825,0.2077,0.1791
155,0.1974,0.1821,0.2081,0.1782
156,0.1983,0.183,0.2071,0.1783
157,0.2011,0.1835,0.2092,0.18
158,0.2023,0.1816,0.2083,0.1799
159,0.2015,0.1824,0.2054,0.1786
160,0.1994,0.1825,0.208,0.1811
161,0.1978,0.1834,0.2053,0.181
162,0.2015,0.1824,0.2055,0.181
163,0.2023,0.1829,0.2076,0.1798
164,0.1995,0.1822,0.2067,0.1794
165,0.198,0.1812,0.2081,0.1799
166,0.199,0.1811,0.2078,0.1779
167,0.2019,0.1828,0.2061,0.179
168,0.1981,0.1811,0.2064,0.1804
169,0.1953,0.1818,0.2058,0.1792
170,0.1987,0.1819,0.207,0.1804
171,0.2011,0.1818,0.2063,0.179
172,0.1993,0.1828,0.2061,0.1804
173,0.1991,0.1815,0.2073,0.1797
174,0.2005,0.1839,0.2038,0.1823
